id,name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,estimated_annual_revenue
1434085287110651494,Bellwoods/Queen West Family Home,Unknown,Niagara,Entire home/apt,685.0,2.0,1,0.13,1,28,3562.0
1434132719570306100,Beautiful 2bd/2ba w Free Parking,Unknown,Waterfront Communities-The Island,Entire home/apt,457.0,1.0,30,3.24,1,104,59227.20000000001
1434228975837150472,"Big House Perfect Toronto getaway,",Unknown,Yorkdale-Glen Park,Entire home/apt,819.0,28.0,18,2.09,3,365,68468.4
1434229331821061433,"CNTower, ScotiaArena, RogersCentre, UnionStation",Unknown,Waterfront Communities-The Island,Entire home/apt,153.0,30.0,1,0.27,1,365,1652.4
1434247040184328662,1 Bedroom Grandeur,Unknown,Agincourt South-Malvern West,Private room,153.0,1.0,1,0.14,3,304,856.8000000000001
1434262706441459075,perfect Toronto getaway,Unknown,Yorkdale-Glen Park,Private room,191.0,28.0,3,0.34,3,365,2597.6000000000004
1434274138173633847,Great stay in Toronto big room,Unknown,Yorkdale-Glen Park,Private room,191.0,28.0,2,0.23,3,365,1757.2000000000003
1434304072337304401,Stylish Minimalist Tiny Stay,Unknown,Mimico (includes Humber Bay Shores),Entire home/apt,217.0,5.0,8,0.99,1,263,8593.2
1434308165660969356,Cozy condo w/Free Parking/Gym,Unknown,Willowdale East,Entire home/apt,226.0,28.0,5,0.66,1,53,5966.400000000001
1434428432807722439,Room near Roger Stadium and Downsview Park,Unknown,Bathurst Manor,Private room,120.0,1.0,7,0.75,3,71,3600.0
1434737322593259629,Private room in a shared space,Unknown,Islington-City Centre West,Private room,105.0,3.0,11,1.18,1,364,4956.0
1434743503908443292,Modern 2-bedroom Condo,Unknown,Willowdale East,Entire home/apt,235.0,28.0,0,0.0,17,365,0.0
1434783269586440873,2 Bedrm 2 Bath Unit +Parking,Unknown,Bay Street Corridor,Entire home/apt,314.0,3.0,15,1.79,1,57,22482.4
1434807957328198192,"New, Lovely Danforth Gem 1BDR - Steps to Subway",Unknown,Danforth,Entire home/apt,110.0,28.0,2,0.23,2,263,1012.0000000000001
